"","Espece","Age","Aile","Masse","Annee"
"702","TAPI","HY",69,11.7,2
"703","TAPI","AHY",73,12.7,2
"704","TAPI","HY",72,13.1,2
"705","TAPI","AHY",73,13.9,2
"706","TAPI","HY",71,14.3,2
"707","TAPI","HY",71,12.6,2
"708","TAPI","HY",69,13,2
"709","TAPI","AHY",74,12.9,2
"710","TAPI","AHY",71,13.2,2
"711","TAPI","HY",73,12.3,2
"712","TAPI","HY",74,14,2
"713","TAPI","HY",73,14.8,2
"714","TAPI","HY",72,12.9,2
"715","TAPI","AHY",74,13.9,2
"716","TAPI","AHY",73,13.6,2
"717","TAPI","HY",69,11.8,2
"718","TAPI","HY",67,13.9,2
"719","TAPI","HY",71,13.3,2
"720","TAPI","HY",73,13.8,2
"721","TAPI","AHY",74,12.8,2
